Mixture	Olig	InN	Micro	ExN	OPC	NPC	Endo	Astro	Perc	P-value	Correlation	RMSE
GTEX-1445S-0011-R6b-SM-5PNUF	0.09722809350387820	0.06810601995998078	0.04397477620705387	0.17851204140322458	0.03644086627842726	0.04589417932142725	0.04391456435219362	0.46069764491284620	0.02523181406096829	0.00000000000000000	0.79926257356028219	0.63605646183724929
GTEX-1445S-0011-R7b-SM-5PNUG	0.15532002762135927	0.01278170786308679	0.02923329781029032	0.01279663174596281	0.35988490599132866	0.00000000000000000	0.04517574850072345	0.34851178737208499	0.03629589309516389	0.00000000000000000	0.85516915447560404	0.52352141282709486
GTEX-1445S-0011-R8a-SM-5PNWX	0.13742491323261127	0.08476966910991315	0.09722866204735166	0.14715480683384569	0.02042008908402121	0.08206134026741436	0.05177172021048391	0.35199325036200835	0.02717554885235042	0.00000000000000000	0.60573624964421391	0.80152460108442436
GTEX-144GL-0011-R1a-SM-5PNZ5	0.18389589405805973	0.13977363229849324	0.00829569530074606	0.26374349723898860	0.27295528775914008	0.00000000000000000	0.00634047097622113	0.12233404983473777	0.00266147253361353	0.00000000000000000	0.79295204104051009	0.65817634617176946
GTEX-144GL-0011-R3a-SM-5P9HP	0.07752094650502137	0.24590759559091249	0.00937370650364175	0.26237244101854312	0.04215207189980793	0.00000000000000000	0.02204850954953170	0.32780637252873052	0.01281835640381115	0.00000000000000000	0.86042092307111129	0.65659275701376885
GTEX-144GL-0011-R4a-SM-5PNUI	0.20275309577880674	0.08811502752696540	0.01556332987985711	0.02099712325607057	0.48159488162465547	0.00000000000000000	0.06164619005538603	0.09830514789855554	0.03102520397970318	0.00000000000000000	0.76278249107577401	0.65396552720126166
GTEX-144GL-0011-R5b-SM-5PNUJ	0.13155953895429048	0.01732204844766254	0.02030587418415635	0.00114204854437821	0.38754873286025560	0.00000000000000000	0.06798332723735827	0.33951549490501914	0.03462293486687935	0.00000000000000000	0.86296082628269100	0.50940688900990849
GTEX-144GL-0011-R6a-SM-5P9HW	0.08737706558307423	0.25200039504836513	0.01154576667094254	0.34950948283782068	0.01123615271815923	0.03566800174618398	0.02283986392927047	0.21418003992086521	0.01564323154531827	0.00000000000000000	0.82798107859029102	0.75027285559995371
GTEX-144GL-0011-R7b-SM-5P9HX	0.09960125942306122	0.04235076017398224	0.03087097055570404	0.05530478005539104	0.35277425650548216	0.00000000000000000	0.04880523833315979	0.33838042859870571	0.03191230635451382	0.00000000000000000	0.86241603774146924	0.52252884443226866
GTEX-144GL-0011-R8a-SM-5Q5B1	0.21886790571455877	0.14595604880741447	0.02113724211477723	0.09254836367249472	0.28773887106791629	0.01735614191230968	0.01528805724734291	0.19805277255228346	0.00305459691090242	0.00000000000000000	0.64816881709224305	0.76212760135562241
GTEX-144GO-0011-R1a-SM-5PNWO	0.27065107701134927	0.03770948727857555	0.06775544070237530	0.11069653486183197	0.37750011654387428	0.00000000000000000	0.06491986513041152	0.03875297392915057	0.03201450454243161	0.00000000000000000	0.73812891826540827	0.67552606267691273
GTEX-144GO-0011-R5a-SM-5PNUR	0.10140105777978418	0.02195225566515142	0.08491199930766317	0.10322607578735661	0.13678407558995129	0.00697778466062369	0.03514864964934964	0.47822194674500962	0.03137615481511034	0.00000000000000000	0.65341566189884182	0.75681588858040671
GTEX-144GO-0011-R6b-SM-5S2V7	0.09906626130299230	0.11915424912608980	0.03518637980481833	0.28897516788326449	0.04818939723274257	0.03276889961696697	0.01448090865544762	0.34749902764462814	0.01467970873304968	0.00000000000000000	0.82046362486033575	0.67224227594182739
GTEX-144GO-0011-R7b-SM-5S2TT	0.23527879306453686	0.01635169054492689	0.02555703948400198	0.03030905562654732	0.38658663929263498	0.03827165837436514	0.04629848553086790	0.18375493111636421	0.03759170696575459	0.00000000000000000	0.72540916990788384	0.69054283459403820
GTEX-145LS-0011-R10a-SM-5PNUQ	0.06377219794344328	0.49430625012967488	0.01434533132627584	0.26036248036445048	0.01123354678898030	0.00535717923573647	0.03142612743426368	0.10498247766494748	0.01421440911222750	0.00000000000000000	0.84809712887924460	0.78822965535598888
GTEX-145LS-0011-R1b-SM-5PNUP	0.19395003764141022	0.10711442260444726	0.04968115909443684	0.00000000000000000	0.49215002363513061	0.00000000000000000	0.06508704394829824	0.07230570785471686	0.01971160522155994	0.00000000000000000	0.81068432449484662	0.58817389324736458
GTEX-145LS-0011-R3a-SM-5S2VJ	0.04375290167984473	0.37188168889337436	0.02180680743301669	0.26973040587009978	0.00000000000000000	0.01306520145462822	0.03643337945199890	0.23143893234037985	0.01189068287665744	0.00000000000000000	0.86012661183037575	0.72450017124015831
GTEX-145LS-0011-R4b-SM-5S2UT	0.14796767178671413	0.20051848921140294	0.04493369700178395	0.27407061912390657	0.07905085272408745	0.01514290222536564	0.04001099343457974	0.17968987700954275	0.01861489748261683	0.00000000000000000	0.74567254508735503	0.75987508285773142
GTEX-145LS-0011-R5a-SM-5SI65	0.10609543641570350	0.23572871886361021	0.03805827537656541	0.14366567121181986	0.25325592099674021	0.00000000000000000	0.04018517416190524	0.15990619478129636	0.02310460819235925	0.00000000000000000	0.86411792015074806	0.60476224506084675
GTEX-145LS-0011-R6b-SM-5PNWL	0.04542970529760741	0.30620546146687766	0.02517176428476433	0.28010884587372015	0.07274625730660796	0.03432071728374035	0.02543944911627307	0.19613847475362167	0.01443932461678740	0.00000000000000000	0.85070502915593860	0.73569659280109201
GTEX-145LS-0011-R7a-SM-5PNWM	0.13571198693093545	0.18734358084327526	0.03270577339756529	0.13583351040133493	0.30165296400392150	0.00230048700501184	0.04631057820598699	0.12892426614905067	0.02921685306291799	0.00000000000000000	0.91888908982744899	0.51062488771311176
GTEX-145LS-0011-R8b-SM-5PNXA	0.13515447384996690	0.22283750752632087	0.04141453246723935	0.05649151653135837	0.46268991189374503	0.00000000000000000	0.03600909732535854	0.03725179169112965	0.00815116871488109	0.00000000000000000	0.75901133669754806	0.65231612966655361
GTEX-145LU-0011-R10a-SM-5PNWJ	0.09240652104099426	0.28385190775275643	0.00702927743576344	0.21992860545559181	0.09773969636455898	0.00000000000000000	0.02695548598362731	0.25911316879026325	0.01297533717644467	0.00000000000000000	0.76749494795896600	0.72738175934067184
GTEX-145LU-0011-R1a-SM-5Q5CE	0.19701107483560878	0.07848875876522571	0.02295797025065627	0.00000000000000000	0.61269902504822071	0.00000000000000000	0.01690986918051293	0.06759757700342942	0.00433572491634623	0.00000000000000000	0.79774253780996363	0.63500018842699069
GTEX-145LU-0011-R3a-SM-5P9K2	0.06933666386094196	0.16933866651903159	0.00482591853514738	0.30749617184049327	0.00000000000000000	0.00000000000000000	0.02413331727789246	0.40900854357364719	0.01586071839284614	0.00000000000000000	0.88121257776102302	0.60067430395158961
GTEX-145LU-0011-R6a-SM-5S2V6	0.12960392235267737	0.12530099412348905	0.01964754945548246	0.22589866509585094	0.13412041854406057	0.02490940026844663	0.04547445040718812	0.28063471824655195	0.01440988150625284	0.00000000000000000	0.75605296695520829	0.70932963432850760
GTEX-145LU-0011-R8b-SM-5PNZG	0.18826430446823880	0.26662467428694842	0.01807486878367753	0.05104493265387233	0.35223339449402985	0.00000000000000000	0.05298855641597628	0.05153046296252307	0.01923880593473368	0.00000000000000000	0.71891712465864455	0.69731995287321757
GTEX-145MG-0011-R10a-SM-5PNWG	0.03700624906166491	0.55410389630668788	0.00294078934641367	0.20087395642936096	0.04182970848561680	0.00000000000000000	0.01121215729621405	0.14429966805628600	0.00773357501775595	0.00000000000000000	0.87030821738929132	0.75404948047468301
